"can1","can2","index","on1","on2","qc1","qc2","ab1","ab2","bc1","bc2","ns1","ns2"
1492407,39.703,58,644547,44.248,428895,50.548,339849,77.745,153359,30.24,57293,58.98
1518917,40.408,59,662162,45.458,436799,51.479,343311,78.537,153359,30.24,57680,59.379
1546474,41.141,60,680687,46.729,444782,52.42,349836,80.03,158040,31.163,58042,59.751
1568604,41.73,61,701327,48.146,450317,53.072,356818,81.627,159995,31.549,58361,60.08
1597514,42.499,62,718341,49.314,456561,53.808,364729,83.437,161434,31.833,58741,60.471
1631224,43.396,63,732720,50.302,463267,54.599,373724,85.495,163356,32.212,59015,60.753
1666480,44.334,64,747964,51.348,470857,55.493,381075,87.176,165256,32.586,59382,61.131
1703613,45.322,65,765501,52.552,477735,56.304,389405,89.082,165256,32.586,59795,61.556
1739990,46.29,66,786323,53.981,484970,57.156,396300,90.659,166933,32.917,60191,61.963
1770701,47.107,67,809053,55.542,489875,57.734,402837,92.155,168248,33.176,60487,62.268
1799655,47.877,68,832158,57.128,493722,58.188,409352,93.645,169717,33.466,60856,62.648
1833253,48.771,69,851532,58.458,498548,58.757,415716,95.101,171583,33.834,61139,62.939
1869996,49.748,70,866889,59.512,504054,59.406,422351,96.619,173607,34.233,61418,63.227
1911552,50.854,71,880398,60.44,509450,60.041,428743,98.081,175454,34.597,61769,63.588
1948990,51.85,72,900339,61.809,514866,60.68,435254,99.57,175454,34.597,62306,64.141
1976904,52.592,73,924680,63.48,520871,61.388,442253,101.172,175454,34.597,62693,64.539
2016761,53.653,74,953015,65.425,524977,61.871,449451,102.818,180473,35.587,62981,64.836
2042852,54.347,75,980471,67.31,528243,62.256,449451,102.818,181704,35.83,63254,65.117
2078570,55.297,76,1003749,68.908,533131,62.832,464070,106.163,183368,36.158,63399,65.266
2120407,56.41,77,1025500,70.401,538816,63.502,470809,107.704,185759,36.629,63643,65.517
2166358,57.632,78,1047224,71.892,545163,64.25,470809,107.704,187748,37.021,63928,65.811
2207909,58.738,79,1071429,73.554,551350,64.98,470809,107.704,187748,37.021,64279,66.172
2248173,59.809,80,1096707,75.289,551434,64.99,487915,111.617,187748,37.021,64716,66.622
2282988,60.735,81,1123932,77.158,551472,64.994,493935,112.995,192432,37.945,64981,66.895
